start_point_id,end_point_id,length,rep_id,status,start_point_lat,start_point_lon,start_point_name,end_point_lat,end_point_lon,end_point_name
44,15,270.0166416,54,1,67.58,47.82,Индига,70.3,57.8,Карские ворота
10,11,277.1898363,102,1,73.1,72.7,Вход в Обскую губу,68.5,73.7,Новый порт
18,39,58.39035132,108,2,70.7,170.5,Восточно-Сибирское - 1 (восток),69.75,169.9,Рейд Певек
13,16,238.8589885,10,2,74.0,76.7,Карское - 1 (сбор каравана),77.3,67.7,Мыс Желания
10,13,86.93004916,8,2,73.1,72.7,Вход в Обскую губу,74.0,76.7,Карское - 1 (сбор каравана)
21,5,655.3557374,1,1,76.2,58.3,около Новой Земли,71.5,22.0,Окно в Европу
4,5,410.5701116,114,1,73.0,44.0,Штокман,71.5,22.0,Окно в Европу
45,37,119.5634492,48,1,65.9,-169.35,Берингов пролив,64.2,188.2,Берингово
13,7,206.8821279,15,2,74.0,76.7,Карское - 1 (сбор каравана),76.4,86.4,Карское - 3 (центр)
9,24,191.1526107,26,2,74.9,116.7,Лаптевых - 4 (юг),74.0,128.1,устье Лены
27,18,178.645412,45,2,69.9,179.0,пролив Лонга,70.7,170.5,Восточно-Сибирское - 1 (восток)
28,33,205.7748943,40,2,73.5,169.9,Восточно-Сибирское - 3 (север),72.0,159.5,Восточно-Сибирское - 2 (запад)
40,22,134.3049847,32,2,75.5,131.5,Лаптевых - 2 (центр),74.4,139.0,Пролив Санникова - 1
42,30,174.3916815,35,2,76.7,140.8,остров Котельный,75.9,152.6,Лаптевых - 3 (восток)
31,3,81.8159608,107,2,68.37,54.6,МОТ Печора,69.15,57.68,Варандей-Приразломное
0,43,123.6831421,13,2,73.1,80.0,Бухта Север и Диксон,74.8,84.2,Карское - 2 (прибрежный)
12,24,246.2458649,28,2,76.75,116.0,Лаптевых - 1 (центр),74.0,128.1,устье Лены
12,42,339.778226,30,2,76.75,116.0,Лаптевых - 1 (центр),76.7,140.8,остров Котельный
15,2,270.5921169,5,1,70.3,57.8,Карские ворота,69.9,44.6,кромка льда на Западе
10,35,127.6546236,103,1,73.1,72.7,Вход в Обскую губу,71.0,73.73,терминал Утренний
9,32,140.7360068,105,2,74.9,116.7,Лаптевых - 4 (юг),73.7,109.26,Хатангский залив
2,3,278.1227556,53,1,69.9,44.6,кромка льда на Западе,69.15,57.68,Варандей-Приразломное
0,1,251.8626597,104,1,73.1,80.0,Бухта Север и Диксон,69.4,86.15,Дудинка
33,18,225.0238977,41,2,72.0,159.5,Восточно-Сибирское - 2 (запад),70.7,170.5,Восточно-Сибирское - 1 (восток)
40,42,152.2019466,31,2,75.5,131.5,Лаптевых - 2 (центр),76.7,140.8,остров Котельный
4,41,288.1919175,113,1,73.0,44.0,Штокман,69.5,33.75,Рейд Мурманска
8,12,121.8205679,24,2,77.6,107.7,пролив Вилькицкого - 3,76.75,116.0,Лаптевых - 1 (центр)
2,29,315.3047628,3,1,69.9,44.6,кромка льда на Западе,64.95,40.05,Архангельск
15,3,69.16861273,55,1,70.3,57.8,Карские ворота,69.15,57.68,Варандей-Приразломное
12,40,234.8941148,29,2,76.75,116.0,Лаптевых - 1 (центр),75.5,131.5,Лаптевых - 2 (центр)
19,8,47.63018916,23,2,77.8,104.1,пролив Вилькицкого - восток,77.6,107.7,пролив Вилькицкого - 3
28,30,308.4151996,39,2,73.5,169.9,Восточно-Сибирское - 3 (север),75.9,152.6,Лаптевых - 3 (восток)
13,0,77.9639623,12,2,74.0,76.7,Карское - 1 (сбор каравана),73.1,80.0,Бухта Север и Диксон
21,2,445.9281382,4,1,76.2,58.3,около Новой Земли,69.9,44.6,кромка льда на Западе
