COORDINATES,ICE
"[20.0, 64.3565]",-10.0
"[20.0, 64.3556]",-10.0
"[20.0, 64.3528]",-10.0
"[21.0, 64.3482]",-10.0
"[21.0, 64.3418]",-10.0
"[22.0, 64.3335]",-10.0
"[22.0, 64.3233]",-10.0
"[23.0, 64.3114]",-10.0
"[23.0, 64.2976]",-10.0
"[24.0, 64.282]",-10.0
"[24.0, 64.2645]",-10.0
"[25.0, 64.2453]",-10.0
"[25.0, 64.2242]",-10.0
"[26.0, 64.2013]",-10.0
"[26.0, 64.1766]",-10.0
"[27.0, 64.1501]",-10.0
"[27.0, 64.1218]",-10.0
"[28.0, 64.0918]",-10.0
"[28.0, 64.0599]",-10.0
"[29.0, 64.0263]",-10.0
"[29.0, 63.9909]",-10.0
"[30.0, 63.9538]",-10.0
"[30.0, 63.9149]",-10.0
"[31.0, 63.8742]",-10.0
"[31.0, 63.8319]",-10.0
"[32.0, 63.7878]",-10.0
"[32.0, 63.742]",-10.0
"[33.0, 63.6945]",-10.0
"[33.0, 63.6454]",-10.0
"[34.0, 63.5945]",-10.0
"[34.0, 63.542]",-10.0
"[34.0, 63.4878]",-10.0
"[35.0, 63.432]",-10.0
"[35.0, 63.3746]",-10.0
"[36.0, 63.3155]",-10.0
"[36.0, 63.2548]",-10.0
"[37.0, 63.1926]",-10.0
"[37.0, 63.1287]",-10.0
"[38.0, 63.0633]",-10.0
"[38.0, 62.9963]",-10.0
"[39.0, 62.9278]",-10.0
"[39.0, 62.8578]",-10.0
"[39.0, 62.7862]",-10.0
"[40.0, 62.7132]",-10.0
"[40.0, 62.6386]",-10.0
"[41.0, 62.5626]",-10.0
"[41.0, 62.4852]",-10.0
"[42.0, 62.4063]",-10.0
"[42.0, 62.3259]",-10.0
"[42.0, 62.2442]",-10.0
"[43.0, 62.161]",-10.0
"[43.0, 62.0765]",-10.0
"[44.0, 61.9906]",-10.0
"[44.0, 61.9033]",-10.0
"[44.0, 61.8147]",-10.0
"[45.0, 61.7248]",-10.0
"[45.0, 61.6336]",-10.0
"[46.0, 61.5411]",-10.0
"[46.0, 61.4473]",-10.0
"[46.0, 61.3522]",-10.0
"[47.0, 61.2559]",-10.0
"[47.0, 61.1584]",-10.0
